,Anchor,Positive,Negative
0,/root/Unzipped/wav/id10099/id10099_46_0.wav,/root/Unzipped/wav/id10099/id10099_42_0_0.wav,/root/Unzipped/wav/id10767/id10767_4_1_0_0_0.wav
1,/root/Unzipped/wav/id10099/id10099_36_1.wav,/root/Unzipped/wav/id10099/id10099_35_0.wav,/root/Unzipped/wav/id10215/id10215_23_4.wav
2,/root/Unzipped/wav/id10099/id10099_28_1.wav,/root/Unzipped/wav/id10099/id10099_13_1_0.wav,/root/Unzipped/wav/id10996/id10996_194_2_0.wav
3,/root/Unzipped/wav/id10099/id10099_23_0_0.wav,/root/Unzipped/wav/id10099/id10099_40_1.wav,/root/Unzipped/wav/id11217/id11217_39_0.wav
4,/root/Unzipped/wav/id10099/id10099_27_1.wav,/root/Unzipped/wav/id10099/id10099_28_0.wav,/root/Unzipped/wav/id10211/id10211_27_0.wav
5,/root/Unzipped/wav/id10099/id10099_47_0.wav,/root/Unzipped/wav/id10099/id10099_43_0.wav,/root/Unzipped/wav/id10865/id10865_58_0.wav
6,/root/Unzipped/wav/id10099/id10099_5_0_0.wav,/root/Unzipped/wav/id10099/id10099_52_1.wav,/root/Unzipped/wav/id10324/id10324_80_0.wav
7,/root/Unzipped/wav/id10099/id10099_39_0_0.wav,/root/Unzipped/wav/id10099/id10099_39_0.wav,/root/Unzipped/wav/id10179/id10179_13_0_0.wav
8,/root/Unzipped/wav/id10099/id10099_4_0.wav,/root/Unzipped/wav/id10099/id10099_40_2.wav,/root/Unzipped/wav/id10034/id10034_80_0.wav
9,/root/Unzipped/wav/id10099/id10099_8_0_0.wav,/root/Unzipped/wav/id10099/id10099_7_1_0.wav,/root/Unzipped/wav/id11079/id11079_14_0.wav
10,/root/Unzipped/wav/id10099/id10099_24_0_0.wav,/root/Unzipped/wav/id10099/id10099_55_0_0.wav,/root/Unzipped/wav/id10170/id10170_145_2.wav
11,/root/Unzipped/wav/id10099/id10099_38_0_0.wav,/root/Unzipped/wav/id10099/id10099_36_0.wav,/root/Unzipped/wav/id10347/id10347_96_0_0.wav
